Status da tarefa de depósito;Data da confirmação;Hora da confirmação;Atividade;Tipo proc.depósito;Código de exceção;Fila;Itinerário;Confirmado por;Produto;Descrição breve do produto;Lote;PD origem;Tp.depósito origem;Tarefa depós.p/UC;Qtd.prev.origem UMB;PD destino;Área de atividade;UC de origem;Tipo depós.destino;UC de destino;Qtd.real destino UMB;Qtd.dif.destino UMB;Autor;Data de criação;Hora da criação
C;17/02/2025;09:38:19;INTL;P340;SPLT;T-MAN;;JOSILVA;400004503;ACICLOVIR G.SAN 200MG 25CP;PC0165;211.37.4;PR10;;1;AVARIAS;PR10;1717631;AVA0;50001890659;1;0;JOSILVA;17/02/2025;09:38:19
C;17/02/2025;09:39:47;INTL;P340;SPLT;T-MAN;;JOSILVA;400004591;LOPERAMIDA G.SAN 2MG 12CP;PB0040;224.05.3;FW10;;1;AVARIAS;FW10;1691792;AVA0;50001890660;1;0;JOSILVA;17/02/2025;09:39:47
C;17/02/2025;09:41:33;INTL;P340;SPLT;T-MAN;;JOSILVA;400004621;ROSUVASTATINA G.SAN 10MG 30CP;NT9299;217.05.3;FW10;;1;AVARIAS;FW10;1669386;AVA0;50001890661;1;0;JOSILVA;17/02/2025;09:41:33
C;17/02/2025;09:42:55;INTL;P340;SPLT;T-MAN;;JOSILVA;400003300;GRIPINEW 20CP CLOFEN+CAFEINA+DIP MED.;OA0834;DIV MEDICAMENTO;SEG0;;1;AVARIAS;SEG0;50001714499;AVA0;50001890662;1;0;JOSILVA;17/02/2025;09:42:55
C;17/02/2025;09:45:37;INTL;P340;SPLT;T-MAN;;JOSILVA;400010888;DESLORATADINA G. TEU 0,5 MG/ML 100 ML;68340036;232.08.2;FW10;;2;AVARIAS;FW10;1914146;AVA0;50001890663;2;0;JOSILVA;17/02/2025;09:45:37
C;17/02/2025;09:48:08;INTL;P340;SPLT;T-MAN;;JOSILVA;400003126;DICLOFENACO POTASSICO G.MDY 50MG 20CP;EKP07558;216.08.6;FW10;;1;AVARIAS;FW10;10004226056;AVA0;50001890665;1;0;JOSILVA;17/02/2025;09:48:08
C;17/02/2025;09:50:06;INTL;P340;SPLT;T-MAN;;JOSILVA;400004283;DICAZID MR 30MG 30CP GLICLAZIDA PLB.;3022689;230.06.1;FW10;;1;AVARIAS;FW10;1658081;AVA0;50001890666;1;0;JOSILVA;17/02/2025;09:50:06
C;17/02/2025;09:51:21;INTL;P340;SPLT;T-MAN;;JOSILVA;400004255;ARTRITEC 15MG 10CP MELOXICAM PLB.;243322;214.06.6;FW10;;1;AVARIAS;FW10;1706885;AVA0;50001890667;1;0;JOSILVA;17/02/2025;09:51:21
C;17/02/2025;09:53:14;INTL;P340;SPLT;T-MAN;;JOSILVA;400002732;DIPIRONA G.LEG XPE 50MG/ML 100ML;4M2072;235.06.3;FW10;;1;AVARIAS;FW10;1716187;AVA0;50001890700;1;0;JOSILVA;17/02/2025;09:53:14
C;17/02/2025;09:54:39;INTL;P340;SPLT;T-MAN;;JOSILVA;400003495;CEFAGEL 500MG 10CA CEFALEXINA MUL.(*);4G5149;215.05.3;FW10;;1;AVARIAS;FW10;1713259;AVA0;50001890727;1;0;JOSILVA;17/02/2025;09:54:39
C;17/02/2025;09:56:10;INTL;P340;SPLT;T-MAN;;JOSILVA;400006127;LACTULAXY SAL FR 667MG/ML 120ML AIR.;24I0608;241.38.1;PR30;;1;AVARIAS;PR30;1903855;AVA0;50001890728;1;0;JOSILVA;17/02/2025;09:56:10
C;17/02/2025;09:58:04;INTL;P340;SPLT;T-MAN;;JOSILVA;400009915;LORATADINA G. AIR. 1 MG/ML XPE 100 ML;24H0605;235.01.2;FW10;;1;AVARIAS;FW10;10003863719;AVA0;50001890824;1;0;JOSILVA;17/02/2025;09:58:04
C;17/02/2025;10:00:03;INTL;AUTO;;T-MAN;;JOSILVA;400001996;LOSARTANA G.GER 50MG 30CP;4G0795;;;X;1;AVARIAS;PR10;10004210357;AVA0;10004210357;1;0;JOSILVA;17/02/2025;10:00:01
C;17/02/2025;10:01:37;INTL;P340;SPLT;T-MAN;;JOSILVA;400003495;CEFAGEL 500MG 10CA CEFALEXINA MUL.(*);4G5149;215.05.3;FW10;;1;AVARIAS;FW10;10004251565;AVA0;50001890825;1;0;JOSILVA;17/02/2025;10:01:37
C;17/02/2025;10:03:52;INTL;P340;SPLT;T-MAN;;JOSILVA;400003633;MAGMAX TRADICIONAL 100ML HIDR MAG NAT.;0026213;226.24.4;PR10;;1;AVARIAS;PR10;1692216;AVA0;50001890826;1;0;JOSILVA;17/02/2025;10:03:52
C;17/02/2025;10:05:31;INTL;P340;SPLT;T-MAN;;JOSILVA;400001809;ACETILCISTEINA G.GER 40MG/ML XPE AD120ML;4F1641;230.06.4;FW10;;1;AVARIAS;FW10;1717391;AVA0;50001890827;1;0;JOSILVA;17/02/2025;10:05:31
C;17/02/2025;10:07:28;INTL;P340;SPLT;T-MAN;;JOSILVA;400003739;DEXCLORFENIRAMINA G.NEO SOL 2MG/5ML120ML;B24K1649;234.06.4;FW10;;1;AVARIAS;FW10;1704354;AVA0;50001890828;1;0;JOSILVA;17/02/2025;10:07:28
C;17/02/2025;10:10:16;INTL;P340;SPLT;T-MAN;;JOSILVA;400003858;NEOLEFRIN XPE 60ML PARACET+CLORF+CA NEO.;B24C0424;234.07.1;FW10;;1;AVARIAS;FW10;1696416;AVA0;50001890829;1;0;JOSILVA;17/02/2025;10:10:16
C;17/02/2025;10:11:51;INTL;P340;SPLT;T-MAN;;JOSILVA;400002732;DIPIRONA G.LEG XPE 50MG/ML 100ML;4M2072;235.06.3;FW10;;1;AVARIAS;FW10;1716187;AVA0;50001890830;1;0;JOSILVA;17/02/2025;10:11:51
C;17/02/2025;10:14:27;INTL;P340;SPLT;T-MAN;;JOSILVA;400004990;CETOCASP SH CETOCONAZOL 120ML UNI.;5249;239.04.3;FW30;;2;AVARIAS;FW30;1672265;AVA0;50001890831;2;0;JOSILVA;17/02/2025;10:14:27
C;17/02/2025;10:17:37;INTL;P340;SPLT;T-MAN;;JOSILVA;400000802;CEFALEXINA G.EMS 250MG SUS 100ML(*);4G0837;215.05.1;FW10;;1;AVARIAS;FW10;1901125;AVA0;50001890832;1;0;JOSILVA;17/02/2025;10:17:37
C;17/02/2025;10:19:45;INTL;P340;SPLT;T-MAN;;JOSILVA;400000802;CEFALEXINA G.EMS 250MG SUS 100ML(*);4G0837;215.05.1;FW10;;1;AVARIAS;FW10;1901125;AVA0;50001890833;1;0;JOSILVA;17/02/2025;10:19:45
C;17/02/2025;10:26:31;INTL;P340;SPLT;T-MAN;;JOSILVA;400003938;TORSILAX 12CP PARACETAMOL+ASSOC NEO.;B24E2185;228.05.6;FW10;;1;AVARIAS;FW10;1900182;AVA0;50001890834;1;0;JOSILVA;17/02/2025;10:26:31
C;17/02/2025;10:28:59;INTL;P340;SPLT;T-MAN;;JOSILVA;400009521;ALFAESTRADIOL G. BLB. 0,25MG/MLX100ML;30300954;225.21.3;PR10;;2;AVARIAS;PR10;1163855;AVA0;50001890835;2;0;JOSILVA;17/02/2025;10:28:59
C;17/02/2025;10:39:29;INTL;P340;SPLT;T-MAN;;JOSILVA;400007032;VALSARTANA G. ALT 160 MG 30 CP;24080182;214.06.4;FW10;;1;AVARIAS;FW10;10004226886;AVA0;50001890911;1;0;JOSILVA;17/02/2025;10:39:29
C;17/02/2025;10:42:36;INTL;P340;SPLT;T-MAN;;JOSILVA;400007837;CARVEDILOL G. TOR 25MG 30 CP;BX16L002;219.10.6;PR10;;2;AVARIAS;PR10;1913169;AVA0;50001890913;2;0;JOSILVA;17/02/2025;10:42:36
C;17/02/2025;10:43:46;INTL;P340;SPLT;T-MAN;;JOSILVA;400007837;CARVEDILOL G. TOR 25MG 30 CP;BX16L002;219.10.6;PR10;;4;AVARIAS;PR10;1913169;AVA0;50001890914;4;0;JOSILVA;17/02/2025;10:43:46
C;17/02/2025;10:45:30;INTL;P340;SPLT;T-MAN;;JOSILVA;400004591;LOPERAMIDA G.SAN 2MG 12CP;PB0040;224.05.3;FW10;;2;AVARIAS;FW10;1912403;AVA0;50001890925;2;0;JOSILVA;17/02/2025;10:45:30
C;17/02/2025;10:47:25;INTL;AUTO;;T-MAN;;JOSILVA;400004503;ACICLOVIR G.SAN 200MG 25CP;PC0165;;;X;1;AVARIAS;PR10;1717631;AVA0;1717631;1;0;JOSILVA;17/02/2025;10:47:24
C;17/02/2025;10:49:10;INTL;P340;SPLT;T-MAN;;JOSILVA;400008999;PERIOASSEPT BUCAL S/ ALCOOL 250ML AVO.;2411040;239.07.3;FW30;;1;AVARIAS;FW30;1915240;AVA0;50001890926;1;0;JOSILVA;17/02/2025;10:49:10
C;17/02/2025;10:52:02;INTL;P340;SPLT;T-MAN;;JOSILVA;400007859;GLICLAZIDA G. TOR 30MG LIB PROL 30 CP;CBZ7L039;223.07.3;FW10;;1;AVARIAS;FW10;1915113;AVA0;50001890927;1;0;JOSILVA;17/02/2025;10:52:02
C;17/02/2025;10:53:13;INTL;P340;SPLT;T-MAN;;JOSILVA;400007859;GLICLAZIDA G. TOR 30MG LIB PROL 30 CP;CBZ7L089;223.07.3;FW10;;9;AVARIAS;FW10;1700536;AVA0;50001890928;9;0;JOSILVA;17/02/2025;10:53:13
C;17/02/2025;10:53:55;INTL;P340;;T-MAN;;JOSILVA;400007859;GLICLAZIDA G. TOR 30MG LIB PROL 30 CP;CBZ7L039;AVARIAS;AVA0;;1;AVARIAS;AVA0;50001890927;AVA0;50001890928;1;0;JOSILVA;17/02/2025;10:53:55
C;17/02/2025;10:55:09;INTL;P340;SPLT;T-MAN;;JOSILVA;400001996;LOSARTANA G.GER 50MG 30CP;4G0795;212.27.3;PR10;;1;AVARIAS;PR10;1915592;AVA0;50001890929;1;0;JOSILVA;17/02/2025;10:55:09
C;17/02/2025;10:55:45;INTL;P340;;T-MAN;;JOSILVA;400001996;LOSARTANA G.GER 50MG 30CP;4G0795;AVARIAS;AVA0;;1;AVARIAS;AVA0;50001890929;AVA0;10004210357;1;0;JOSILVA;17/02/2025;10:55:45
C;17/02/2025;10:56:46;INTL;AUTO;;T-MAN;;JOSILVA;400016269;ONDANSETRONA 4MG 10CP ORODISP G. GEO;2414356;;;X;1;AVARIAS;SEG0;50001813971;AVA0;50001813971;1;0;JOSILVA;17/02/2025;10:56:45
C;17/02/2025;10:57:54;INTL;P340;SPLT;T-MAN;;JOSILVA;400004288;DOXICICLINA G.PLB 100MG 15CP(*);244706;230.04.6;FW10;;1;AVARIAS;FW10;1717903;AVA0;50001890930;1;0;JOSILVA;17/02/2025;10:57:54
C;17/02/2025;10:59:29;INTL;P340;SPLT;T-MAN;;JOSILVA;400004308;GLICLAZIDA G.PLB 30MG 30CP;3024047;221.03.1;FW10;;1;AVARIAS;FW10;1715502;AVA0;50001890931;1;0;JOSILVA;17/02/2025;10:59:29
C;17/02/2025;11:01:25;INTL;P340;SPLT;T-MAN;;JOSILVA;400009513;FEXOFENADINA G. GER. 120MG 10CP;4K2104;MEDICAMENTOS;DEV0;;3;AVARIAS;DEV0;10004200938;AVA0;50001890953;3;0;JOSILVA;17/02/2025;11:01:25
C;17/02/2025;11:02:48;INTL;AUTO;;T-MAN;;JOSILVA;400003033;ACICLOVIR G.MDY 50MG/G CR 10 G;EKP14222;;;X;1;AVARIAS;SEG0;50001879126;AVA0;50001879126;1;0;JOSILVA;17/02/2025;11:02:46
C;17/02/2025;11:04:08;INTL;AUTO;;T-MAN;;JOSILVA;400016269;ONDANSETRONA 4MG 10CP ORODISP G. GEO;2414356;;;X;1;AVARIAS;SEG0;50001881033;AVA0;50001881033;1;0;JOSILVA;17/02/2025;11:04:06
C;17/02/2025;11:06:17;INTL;P340;SPLT;T-MAN;;JOSILVA;400002646;ACICLOVIR G.LEG 50MG/G CR 10 G;4J8828;DIV MEDICAMENTO;SEG0;;1;AVARIAS;SEG0;50001771237;AVA0;50001890989;1;0;JOSILVA;17/02/2025;11:06:17
C;17/02/2025;11:08:04;INTL;P340;SPLT;T-MAN;;JOSILVA;400003126;DICLOFENACO POTASSICO G.MDY 50MG 20CP;EKP07558;216.08.6;FW10;;1;AVARIAS;FW10;10004226056;AVA0;50001890990;1;0;JOSILVA;17/02/2025;11:08:04
C;17/02/2025;11:11:07;INTL;AUTO;;T-MAN;;JOSILVA;400002830;NIMESULIDA G.LEG 100MG 12CP;4H2327;;;X;1;AVARIAS;SEG0;50001795857;AVA0;50001795857;1;0;JOSILVA;17/02/2025;11:11:06
C;17/02/2025;11:12:39;INTL;P340;SPLT;T-MAN;;JOSILVA;400003633;MAGMAX TRADICIONAL 100ML HIDR MAG NAT.;0026213;226.24.4;PR10;;1;AVARIAS;PR10;1692216;AVA0;50001890991;1;0;JOSILVA;17/02/2025;11:12:39
C;17/02/2025;11:13:46;INTL;P340;;T-MAN;;ANASCIMENTO;400006084;DERMOSALIC LOC 30ML BETA+AC SALIC BUN.;00052701;DIV MEDICAMENTO;SEG0;;1;DIV MEDICAMENTO;SEG0;50001795850;SEG0;50001795851;1;0;ANASCIMENTO;17/02/2025;11:13:46
C;17/02/2025;11:21:02;INTL;P340;;T-MAN;;ANASCIMENTO;400016323;TADALAFILA 20MG 4CP REV G. PLB;244344;DIV MEDICAMENTO;SEG0;;2;DIV MEDICAMENTO;SEG0;50001810711;SEG0;50001859816;2;0;ANASCIMENTO;17/02/2025;11:21:02
C;17/02/2025;11:22:01;INTL;P340;SPLT;T-MAN;;ANASCIMENTO;400016323;TADALAFILA 20MG 4CP REV G. PLB;244344;DIV MEDICAMENTO;SEG0;;1;DIV MEDICAMENTO;SEG0;50001810715;SEG0;50001859816;1;0;ANASCIMENTO;17/02/2025;11:22:01
C;17/02/2025;11:14:29;INTL;AUTO;;T-MAN;;JOSILVA;400003192;NEOMICINA+BACITRACINA G.MDY POM 50 G(*);EKP07251;;;X;1;AVARIAS;FW10;1915127;AVA0;1915127;1;0;JOSILVA;17/02/2025;11:14:26
C;17/02/2025;11:16:01;INTL;P340;SPLT;T-MAN;;JOSILVA;400000917;DROSPIRE+ETINIL EMS G.3MG/0,02 24+4CP;4K0236;221.25.2;PR10;;1;AVARIAS;PR10;1723356;AVA0;50001890993;1;0;JOSILVA;17/02/2025;11:16:01
C;17/02/2025;11:17:20;INTL;P340;SPLT;T-MAN;;JOSILVA;400004503;ACICLOVIR G.SAN 200MG 25CP;PC0165;211.37.4;PR10;;1;AVARIAS;PR10;10003805988;AVA0;50001890994;1;0;JOSILVA;17/02/2025;11:17:20
C;17/02/2025;11:19:11;INTL;AUTO;;T-MAN;;JOSILVA;400000357;VITAMINA D3 50.000UI 8CA BLB.;40406638;;;X;1;AVARIAS;FW30;1683749;AVA0;1683749;1;0;JOSILVA;17/02/2025;11:19:10
C;17/02/2025;11:21:07;INTL;P340;SPLT;T-MAN;;JOSILVA;400001996;LOSARTANA G.GER 50MG 30CP;4G0795;212.27.3;PR10;;1;AVARIAS;PR10;1915592;AVA0;50001891016;1;0;JOSILVA;17/02/2025;11:21:07
C;17/02/2025;11:24:39;INTL;AUTO;;T-MAN;;JOSILVA;400010221;SAB LIQ MONANGE FL LAVAND 400ML CTY.;4188C1;;;X;1;AVARIAS;PR30;10002964095;AVA0;10002964095;1;0;JOSILVA;17/02/2025;11:24:36
C;17/02/2025;11:28:01;INTL;P340;SPLT;T-MAN;;JOSILVA;400003592;HIDROXIZINA G.NVT 2MG/ML 100ML;240636;225.34.1;PR10;;1;AVARIAS;PR10;1913299;AVA0;50001891053;1;0;JOSILVA;17/02/2025;11:28:01
C;17/02/2025;12:44:58;INTL;P340;;T-MAN;;SBISPO;400004078;FEXOFENADINA G.NQM 120MG 10CP;4L4988;229.01.6;FW10;;2;DIV MEDICAMENTO;FW10;1668828;SEG0;50001890136;2;0;SBISPO;17/02/2025;12:44:58
C;17/02/2025;12:43:55;INTL;P340;;T-MAN;;LFSILVA;400007225;SHAMPOO MATIZADOR MEU LISO 300ML SLN.;356721;234.28.5;PR30;;2;DIV MEDICAMENTO;PR30;1714509;SEG0;50001891084;2;0;LFSILVA;17/02/2025;12:43:55
C;17/02/2025;12:44:34;INTL;P340;;T-EMP;;FBRANDES;400004233;ASP SECRECAO ASPIRAMAX MA520-60AZUL OMR.;402.714;111.16.2.3;PK60;;4;DIV MEDICAMENTO;PK60;10003817473;SEG0;50001891085;4;0;FBRANDES;17/02/2025;12:44:34
C;17/02/2025;13:42:45;INTL;Y999;;T-MAN;;TSSILVA;400002897;VOLIG 8MG 10CP ORODISP ONDANSETRONA LEG.;4L1862;;;X;1;AVARIAS;DEV0;10004257612;AVA0;10004257612;1;0;TSSILVA;17/02/2025;13:42:43
C;17/02/2025;15:16:00;INTL;P340;;T-MAN;;ANASCIMENTO;400008991;LEXIN 500 MG 10 CP CEFALEXINA TEU. (*);47060015;DIV MEDICAMENTO;SEG0;;1;DIV MEDICAMENTO;SEG0;50001872285;SEG0;50001872287;1;0;ANASCIMENTO;17/02/2025;15:16:00
C;17/02/2025;15:16:14;INTL;P340;;T-MAN;;ANASCIMENTO;400008991;LEXIN 500 MG 10 CP CEFALEXINA TEU. (*);47060015;DIV MEDICAMENTO;SEG0;;4;DIV MEDICAMENTO;SEG0;50001872286;SEG0;50001872287;4;0;ANASCIMENTO;17/02/2025;15:16:14
C;17/02/2025;15:17:10;INTL;P340;SPLT;T-MAN;;ANASCIMENTO;400008991;LEXIN 500 MG 10 CP CEFALEXINA TEU. (*);47060015;DIV MEDICAMENTO;SEG0;;1;DIV MEDICAMENTO;SEG0;50001872288;SEG0;50001872287;1;0;ANASCIMENTO;17/02/2025;15:17:10
C;17/02/2025;15:14:40;INTL;P340;SPLT;T-MAN;;FRODRIGUES;400000703;ACETILCISTEINA G.EMS 600MG 5G 16ENV;4L7516;MEDICAMENTOS;DEV0;;6;AVARIAS;DEV0;10004210689;AVA0;10004251404;6;0;FRODRIGUES;17/02/2025;15:14:40
C;17/02/2025;15:17:23;INTL;P340;SPLT;T-MAN;;FRODRIGUES;400001169;SINVASTATINA G.EMS 40MG 30CP;4L4252;MEDICAMENTOS;DEV0;;6;AVARIAS;DEV0;10004210689;AVA0;10004251402;6;0;FRODRIGUES;17/02/2025;15:17:23
C;17/02/2025;15:20:18;INTL;AUTO;;T-MAN;;FRODRIGUES;400000802;CEFALEXINA G.EMS 250MG SUS 100ML(*);4F8466;;;X;3;AVARIAS;DEV0;10004210689;AVA0;10004210689;3;0;FRODRIGUES;17/02/2025;15:20:14
C;17/02/2025;16:22:03;INTL;P340;;T-MAN;;SBISPO;400004562;DESOGESTREL G.SAN 0,075MG 28CP;CMC553;MEDICAMENTOS;DEV0;;3;DIV MEDICAMENTO;DEV0;1721016;SEG0;50001891826;3;0;SBISPO;17/02/2025;16:22:03
C;17/02/2025;16:23:27;INTL;P340;SPLT;T-MAN;;SBISPO;400003637;MAXALGINA 20ML DIPIRONA SODICA NAT.;0029301;228.04.1;FW10;;1;AVARIAS;FW10;1722701;AVA0;50001891827;1;0;SBISPO;17/02/2025;16:23:27
C;17/02/2025;16:33:13;INTL;P340;;T-MAN;;LOLIVEIRA;400000919;DULOXETINA G.EMS 60MG 30CP(C1);4L4006;310.55.3.1;ES50;;2;DIV CONTROLADO;ES50;10004060172;SEG0;10004228029;2;0;LOLIVEIRA;17/02/2025;16:33:13
C;17/02/2025;17:20:32;INTL;P340;;T-MAN;;ENSANTOS;400005037;ANLODIPINO G.VIT 10MG 30CP;85214;224.07.2;FW10;;1;AVARIAS;FW10;1714307;AVA0;50001892125;1;0;ENSANTOS;17/02/2025;17:20:32
C;17/02/2025;20:35:23;INTL;AUTO;;T-MAN;;RVSANTOS;400004841;IBUPRIL 600MG 20CP IBUPROFENO TEU.;58369946;;;X;100;DIV MEDICAMENTO;PK10;10004009662;SEG0;10004009662;100;0;RVSANTOS;17/02/2025;20:35:22
C;17/02/2025;21:23:27;INTL;P340;;T-MAN;;LCOSTA;400001901;DESONIDA G.GER POM 30 G;4F8374;218.32.4;PR10;;4;DIV MEDICAMENTO;PR10;1670794;SEG0;50001893329;4;0;LCOSTA;17/02/2025;21:23:27
C;17/02/2025;21:23:46;INTL;P340;;T-MAN;;LCOSTA;400001901;DESONIDA G.GER POM 30 G;4F8374;218.32.4;PR10;;39;DIV MEDICAMENTO;PR10;1718547;SEG0;50001893330;39;0;LCOSTA;17/02/2025;21:23:46
C;17/02/2025;21:40:21;INTL;P340;;T-MAN;;LCOSTA;400000240;GLICERILAX SUP INF 6UN GLICERINA BEL.;054093;216.23.1;PR10;;18;DIV MEDICAMENTO;PR10;1696822;SEG0;50001893331;18;0;LCOSTA;17/02/2025;21:40:21
C;17/02/2025;21:40:37;INTL;P340;;T-MAN;;LCOSTA;400000240;GLICERILAX SUP INF 6UN GLICERINA BEL.;054093;216.23.1;PR10;;17;DIV MEDICAMENTO;PR10;1150791;SEG0;50001893332;17;0;LCOSTA;17/02/2025;21:40:37
C;17/02/2025;21:47:24;INTL;AUTO;;T-MAN;;RVSANTOS;400009203;NORETISTE+ESTRADIOL G. EUR 50/5 MG 1 INJ;914864;;;X;50;DIV MEDICAMENTO;PK10;10003775617;SEG0;10003775617;50;0;RVSANTOS;17/02/2025;21:47:23
C;17/02/2025;21:51:57;INTL;P340;;T-MAN;;LCOSTA;400015921;HEMODASE 5+20+20+100MG/G 25G POM APL VIT;30001446;215.38.1;PR10;;3;DIV MEDICAMENTO;PR10;50001870524;SEG0;50001893333;3;0;LCOSTA;17/02/2025;21:51:57
C;17/02/2025;22:42:07;INTL;P340;;T-MAN;;ARFERREIRA;400010535;APIXABANA G. SAN 2,5MG 60 CP;NX8675;211.31.2;PR10;;8;DIV MEDICAMENTO;PR10;1713304;SEG0;50001893335;8;0;ARFERREIRA;17/02/2025;22:42:07
C;15/02/2025;03:57:48;INTL;P340;;T-MAN;;IMENEZES;400000268;PLABEL 20CP METOCLOPRAMIDA BEL.;114095;224.05.1;FW10;;14;DIV MEDICAMENTO;FW10;1901733;SEG0;50001890144;14;0;IMENEZES;15/02/2025;03:57:48
C;15/02/2025;03:57:56;INTL;P340;;T-MAN;;IMENEZES;400000268;PLABEL 20CP METOCLOPRAMIDA BEL.;114095;224.05.1;FW10;;1;DIV MEDICAMENTO;FW10;1911781;SEG0;50001890145;1;0;IMENEZES;15/02/2025;03:57:56
C;15/02/2025;03:58:04;INTL;P340;;T-MAN;;IMENEZES;400000268;PLABEL 20CP METOCLOPRAMIDA BEL.;114095;224.05.1;FW10;;21;DIV MEDICAMENTO;FW10;10003675036;SEG0;50001890146;21;0;IMENEZES;15/02/2025;03:58:04
C;15/02/2025;13:40:52;INTL;P340;SPLT;T-MAN;;SBISPO;400001302;DOMPERIDONA G.EUR 1MG 100ML;942806;228.03.3;FW10;;4;AVARIAS;FW10;1913346;AVA0;50001890132;4;0;SBISPO;15/02/2025;13:40:52
C;15/02/2025;14:14:43;INTL;P340;;T-MAN;;SBISPO;400003314;PANTOPRAZOL G.MED 40MG 60CP;OA2743;236.05.3;FW10;;25;DIV MEDICAMENTO;FW10;1915797;SEG0;50001890133;25;0;SBISPO;15/02/2025;14:14:43
C;15/02/2025;14:32:57;INTL;P340;;T-MAN;;SBISPO;400007249;LIGHT COLOR PROF 2.0 PRETO SLN.;360757;237.21.6;PR30;;15;DIV MEDICAMENTO;PR30;1915796;SEG0;50001862120;15;0;SBISPO;15/02/2025;14:32:57
C;14/02/2025;00:55:36;INTL;P340;;T-MAN;;JJUNIOR;400004078;FEXOFENADINA G.NQM 120MG 10CP;4E9307;MESA;Y831;;3;DIV MEDICAMENTO;Y831;50001886948;SEG0;50001887946;3;0;JJUNIOR;14/02/2025;00:55:36
C;14/02/2025;02:09:20;INTL;AUTO;;T-MAN;;RVSANTOS;400006372;ASMOFEN 0,2MG/ML XPE 120ML PET TEU.;5462065;;;X;50;DIV MEDICAMENTO;PK10;10004009556;SEG0;10004009556;50;0;RVSANTOS;14/02/2025;02:09:18
C;14/02/2025;02:00:07;INTL;P340;;T-MAN;;LCOSTA;400001005;INFRALAX 15CP PARACETAMOL+ASSOC EMS.;4M0766;244.12.2;FW70;;7;DIV MEDICAMENTO;FW70;1710484;SEG0;50001887947;7;0;LCOSTA;14/02/2025;02:00:07
C;14/02/2025;02:00:58;INTL;P340;;T-MAN;;JJUNIOR;400001005;INFRALAX 15CP PARACETAMOL+ASSOC EMS.;4M0766;MESA;Y831;;8;DIV MEDICAMENTO;Y831;50001886891;SEG0;50001887948;8;0;JJUNIOR;14/02/2025;02:00:58
